"Store ID","Entity ID","Store Name","MarketMan Store Name","Revel Establishment Name","Open Date","Franchise Agreement Complete","Marketman Location","Revel Est ID","Revel Complete","Clover to Revel Cutover Date","Owner In MarketMan","Marketman Complete","Entity","Owner","Address Line 1","Address Line 2","City","State","Postcode","Country","Phone","Sq Footage","Store Hours","Sales Tax ID","Sales Tax Rate","Real Estate Type","Market Area Zip Codes","Notes on Zip Codes","Clover MID","Clover Buyout","Clover Buyout Paid","Ubiquiti Network","","","","","","","","","","","","","","","","","",""
"80","1","Buff City Soap - AL Montgomery","0080 - AL Montgomery","","11/27/2020","","","","","","","","Ingenuity LLC","Rick Hayes","7060 Eastchase Pkwy","","Montgomery","AL","36117","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","1","Buff City Soap - SC Clemson","0081 - SC Clemson","","TBD","","","","","","","","Ingenuity LLC","","13480 Clemson Blvd","Suite J80","Seneca","SC","29678","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","21","Buff City Soap - KY Bowling Green","0082 - KY Bowling Green","","TBD","","","","","","","","Louisville Soap LLC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","21","Buff City Soap - IN Carmel","0083 - IN Carmel","","","","","","","","","","Louisville Soap LLC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","21","Buff City Soap - KY Ashland","0084 - KY Ashland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","21","Buff City Soap - KY London","0085 - KY London","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","21","Buff City Soap - WV Charleston","0086 - WV Charleston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","21","Buff City Soap - IN Carmel Michigan Rd","0087 - IN Carmel Michigan Rd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","21","Buff City Soap - KY Pikeville","0088 - KY Pikeville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","21","Buff City Soap - KY Owensboro","0089 - KY Owensboro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","12","Buff City Soap - FL Pine Island Marketplace","0090 - FL Pine Island Marketplace","","TBD","","","","","","","","Buff City Cape Coral LLC","Michele Williamson","511 South West Pine Island Rd.","Unit 106","Cape Coral","FL","33991","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","27","Buff City Soap - GA Buckhead","0091 - GA Buckhead","","TBD","","","","","","","","","Alex Royter","Hold","","Atlanta","GA","","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On Hold","27","Buff City Soap - GA Brookhaven","On Hold - GA Brookhaven","","TBD","","","","","","","","","Alex Royter","","","Atlanta","GA","","USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
